Domain_Time,Duration(s)
2023-03-20 09:00:01,2.00511
2023-03-20 09:00:02,0.83427
2023-03-20 09:00:03,7.53092
2023-03-20 09:00:04,5.33652
2023-03-20 09:00:05,68.24245
2023-03-20 09:00:06,1.22953
2023-03-20 09:00:07,1.29426
2023-03-20 09:00:08,1.27886
2023-03-20 09:00:09,1.59833
2023-03-20 09:00:10,1.57554
2023-03-20 09:00:11,1.28651
2023-03-20 09:00:12,1.36224
2023-03-20 09:00:13,1.28614
2023-03-20 09:00:14,1.32451
2023-03-20 09:00:15,1.53625
2023-03-20 09:00:16,1.27468
2023-03-20 09:00:17,1.32705
2023-03-20 09:00:18,1.28521
2023-03-20 09:00:19,1.7182
2023-03-20 09:00:20,1.31259
2023-03-20 09:00:21,1.3214
2023-03-20 09:00:22,1.3175
2023-03-20 09:00:23,1.47453
2023-03-20 09:00:24,1.29414
2023-03-20 09:00:25,1.24346
2023-03-20 09:00:26,1.30631
2023-03-20 09:00:27,1.32833
2023-03-20 09:00:28,1.30615
2023-03-20 09:00:29,1.34575
2023-03-20 09:00:30,1.26333
2023-03-20 09:00:31,1.38205
2023-03-20 09:00:32,1.27037
2023-03-20 09:00:33,1.32654
2023-03-20 09:00:34,1.32818
2023-03-20 09:00:35,1.2873
2023-03-20 09:00:36,1.35327
2023-03-20 09:00:37,1.24231
2023-03-20 09:00:38,1.34174
2023-03-20 09:00:39,1.3019
2023-03-20 09:00:40,1.33321
2023-03-20 09:00:41,1.28395
2023-03-20 09:00:42,1.27726
2023-03-20 09:00:43,1.31132
2023-03-20 09:00:44,1.29656
2023-03-20 09:00:45,1.35156
2023-03-20 09:00:46,1.31258
2023-03-20 09:00:47,1.26758
2023-03-20 09:00:48,1.31133
2023-03-20 09:00:49,1.23964
2023-03-20 09:00:50,1.3502
2023-03-20 09:00:51,1.28287
2023-03-20 09:00:52,1.40923
2023-03-20 09:00:53,1.32143
2023-03-20 09:00:54,1.32486
2023-03-20 09:00:55,1.36727
2023-03-20 09:00:56,1.27795
2023-03-20 09:00:57,1.34509
2023-03-20 09:00:58,1.21814
2023-03-20 09:00:59,1.37887
2023-03-20 09:01:00,1.28376
2023-03-20 09:01:01,1.30983
2023-03-20 09:01:02,1.29892
2023-03-20 09:01:03,1.30416
2023-03-20 09:01:04,1.37512
2023-03-20 09:01:05,33.57507
2023-03-20 09:01:06,1.32091
2023-03-20 09:01:07,1.32574
2023-03-20 09:01:08,1.32629
2023-03-20 09:01:09,1.46739
2023-03-20 09:01:10,1.30116
2023-03-20 09:01:11,1.26851
2023-03-20 09:01:12,1.26041
2023-03-20 09:01:13,1.32874
2023-03-20 09:01:14,1.30949
2023-03-20 09:01:15,1.53556
2023-03-20 09:01:16,1.30115
2023-03-20 09:01:17,1.28151
2023-03-20 09:01:18,1.25513
2023-03-20 09:01:19,1.30207
2023-03-20 09:01:20,1.42227
2023-03-20 09:01:21,1.32123
2023-03-20 09:01:22,1.25212
2023-03-20 09:01:23,1.32684
2023-03-20 09:01:24,1.50286
2023-03-20 09:01:25,1.41801
2023-03-20 09:01:26,1.35808
2023-03-20 09:01:27,1.27067
2023-03-20 09:01:28,1.60882
2023-03-20 09:01:29,1.2707
2023-03-20 09:01:30,1.35452
2023-03-20 09:01:31,1.33249
2023-03-20 09:01:32,1.32095
2023-03-20 09:01:33,1.27006
2023-03-20 09:01:34,1.3092
